SiPM 4016  (-458.67,70.03,-22.8)
SiPM 4017  (-458.67,85.58,-22.8)
SiPM 4018  (-458.67,101.13,-22.8)
SiPM 4019  (-458.67,116.68,-22.8)
SiPM 4020  (-458.67,132.23,-22.8)
SiPM 4021  (-458.67,147.78,-22.8)
SiPM 4022  (-458.67,163.33,-22.8)
SiPM 4023  (-458.67,178.88,-22.8)
SiPM 4024  (-443.12,70.03,-22.8)
SiPM 4025  (-443.12,85.58,-22.8)
SiPM 4026  (-443.12,101.13,-22.8)
SiPM 4027  (-443.12,116.68,-22.8)
SiPM 4028  (-443.12,132.23,-22.8)
SiPM 4029  (-443.12,147.78,-22.8)
SiPM 4030  (-443.12,163.33,-22.8)
SiPM 4031  (-443.12,178.88,-22.8)
SiPM 4032  (-427.57,70.03,-22.8)
SiPM 4033  (-427.57,85.58,-22.8)
SiPM 4034  (-427.57,101.13,-22.8)
SiPM 4035  (-427.57,116.68,-22.8)
SiPM 4036  (-427.57,132.23,-22.8)
SiPM 4037  (-427.57,147.78,-22.8)
SiPM 4038  (-427.57,163.33,-22.8)
SiPM 4039  (-427.57,178.88,-22.8)
SiPM 4040  (-412.02,70.03,-22.8)
SiPM 4041  (-412.02,85.58,-22.8)
SiPM 4042  (-412.02,101.13,-22.8)
SiPM 4043  (-412.02,116.68,-22.8)
SiPM 4044  (-412.02,132.23,-22.8)
SiPM 4045  (-412.02,147.78,-22.8)
SiPM 4046  (-412.02,163.33,-22.8)
SiPM 4047  (-412.02,178.88,-22.8)
SiPM 4048  (-396.47,70.03,-22.8)
SiPM 4049  (-396.47,85.58,-22.8)
SiPM 4050  (-396.47,101.13,-22.8)
SiPM 4051  (-396.47,116.68,-22.8)
SiPM 4052  (-396.47,132.23,-22.8)
SiPM 4053  (-396.47,147.78,-22.8)
SiPM 4054  (-396.47,163.33,-22.8)
SiPM 4055  (-396.47,178.88,-22.8)
SiPM 4056  (-380.92,70.03,-22.8)
SiPM 4057  (-380.92,85.58,-22.8)
SiPM 4058  (-380.92,101.13,-22.8)
SiPM 4059  (-380.92,116.68,-22.8)
SiPM 4060  (-380.92,132.23,-22.8)
SiPM 4061  (-380.92,147.78,-22.8)
SiPM 4062  (-380.92,163.33,-22.8)
SiPM 4063  (-380.92,178.88,-22.8)
SiPM 5000  (-489.77,194.43,-22.8)
SiPM 5001  (-489.77,209.98,-22.8)
SiPM 5002  (-489.77,225.53,-22.8)
SiPM 5003  (-489.77,241.08,-22.8)
SiPM 5004  (-489.77,256.63,-22.8)
SiPM 5005  (-489.77,272.18,-22.8)
SiPM 5006  (-489.77,287.73,-22.8)
SiPM 5007  (-489.77,303.28,-22.8)
SiPM 5008  (-474.22,194.43,-22.8)
SiPM 5009  (-474.22,209.98,-22.8)
SiPM 5010  (-474.22,225.53,-22.8)
SiPM 5011  (-474.22,241.08,-22.8)
SiPM 5012  (-474.22,256.63,-22.8)
SiPM 5013  (-474.22,272.18,-22.8)
SiPM 5014  (-474.22,287.73,-22.8)
SiPM 5015  (-474.22,303.28,-22.8)
SiPM 5016  (-458.67,194.43,-22.8)
SiPM 5017  (-458.67,209.98,-22.8)
SiPM 5018  (-458.67,225.53,-22.8)
SiPM 5019  (-458.67,241.08,-22.8)
SiPM 5020  (-458.67,256.63,-22.8)
SiPM 5021  (-458.67,272.18,-22.8)
SiPM 5022  (-458.67,287.73,-22.8)
SiPM 5023  (-458.67,303.28,-22.8)
SiPM 5024  (-443.12,194.43,-22.8)
SiPM 5025  (-443.12,209.98,-22.8)
SiPM 5026  (-443.12,225.53,-22.8)
SiPM 5027  (-443.12,241.08,-22.8)
SiPM 5028  (-443.12,256.63,-22.8)
SiPM 5029  (-443.12,272.18,-22.8)
SiPM 5030  (-443.12,287.73,-22.8)
SiPM 5031  (-443.12,303.28,-22.8)
SiPM 5032  (-427.57,194.43,-22.8)
SiPM 5033  (-427.57,209.98,-22.8)
SiPM 5034  (-427.57,225.53,-22.8)
SiPM 5035  (-427.57,241.08,-22.8)
SiPM 5036  (-427.57,256.63,-22.8)
SiPM 5037  (-427.57,272.18,-22.8)
SiPM 5038  (-427.57,287.73,-22.8)
SiPM 5039  (-427.57,303.28,-22.8)
SiPM 5040  (-412.02,194.43,-22.8)
SiPM 5041  (-412.02,209.98,-22.8)
SiPM 5042  (-412.02,225.53,-22.8)
SiPM 5043  (-412.02,241.08,-22.8)
SiPM 5044  (-412.02,256.63,-22.8)
SiPM 5045  (-412.02,272.18,-22.8)
SiPM 5046  (-412.02,287.73,-22.8)
SiPM 5047  (-412.02,303.28,-22.8)
SiPM 5048  (-396.47,194.43,-22.8)
SiPM 5049  (-396.47,209.98,-22.8)
SiPM 5050  (-396.47,225.53,-22.8)
SiPM 5051  (-396.47,241.08,-22.8)
SiPM 5052  (-396.47,256.63,-22.8)
SiPM 5053  (-396.47,272.18,-22.8)
SiPM 5054  (-396.47,287.73,-22.8)
SiPM 5055  (-396.47,303.28,-22.8)
SiPM 5056  (-380.92,194.43,-22.8)
SiPM 5057  (-380.92,209.98,-22.8)
SiPM 5058  (-380.92,225.53,-22.8)
SiPM 5059  (-380.92,241.08,-22.8)
SiPM 5060  (-380.92,256.63,-22.8)
SiPM 5061  (-380.92,272.18,-22.8)
SiPM 5062  (-380.92,287.73,-22.8)
SiPM 5063  (-380.92,303.28,-22.8)
SiPM 6000  (-365.37,-427.57,-22.8)
SiPM 6001  (-365.37,-412.02,-22.8)
SiPM 6002  (-365.37,-396.47,-22.8)
SiPM 6003  (-365.37,-380.92,-22.8)
SiPM 6004  (-365.37,-365.37,-22.8)
SiPM 6005  (-365.37,-349.82,-22.8)
SiPM 6006  (-365.37,-334.27,-22.8)
SiPM 6007  (-365.37,-318.72,-22.8)
SiPM 6008  (-349.82,-427.57,-22.8)
SiPM 6009  (-349.82,-412.02,-22.8)
SiPM 6010  (-349.82,-396.47,-22.8)
SiPM 6011  (-349.82,-380.92,-22.8)
SiPM 6012  (-349.82,-365.37,-22.8)
SiPM 6013  (-349.82,-349.82,-22.8)
SiPM 6014  (-349.82,-334.27,-22.8)
SiPM 6015  (-349.82,-318.72,-22.8)
SiPM 6016  (-334.27,-427.57,-22.8)
SiPM 6017  (-334.27,-412.02,-22.8)
SiPM 6018  (-334.27,-396.47,-22.8)
SiPM 6019  (-334.27,-380.92,-22.8)
SiPM 6020  (-334.27,-365.37,-22.8)
SiPM 6021  (-334.27,-349.82,-22.8)
SiPM 6022  (-334.27,-334.27,-22.8)
SiPM 6023  (-334.27,-318.72,-22.8)
SiPM 6024  (-318.72,-427.57,-22.8)
SiPM 6025  (-318.72,-412.02,-22.8)
SiPM 6026  (-318.72,-396.47,-22.8)
SiPM 6027  (-318.72,-380.92,-22.8)
SiPM 6028  (-318.72,-365.37,-22.8)
SiPM 6029  (-318.72,-349.82,-22.8)
SiPM 6030  (-318.72,-334.27,-22.8)
SiPM 6031  (-318.72,-318.72,-22.8)
SiPM 6032  (-303.17,-427.57,-22.8)
SiPM 6033  (-303.17,-412.02,-22.8)
SiPM 6034  (-303.17,-396.47,-22.8)
SiPM 6035  (-303.17,-380.92,-22.8)
SiPM 6036  (-303.17,-365.37,-22.8)
SiPM 6037  (-303.17,-349.82,-22.8)
SiPM 6038  (-303.17,-334.27,-22.8)
SiPM 6039  (-303.17,-318.72,-22.8)
SiPM 6040  (-287.62,-427.57,-22.8)
SiPM 6041  (-287.62,-412.02,-22.8)
SiPM 6042  (-287.62,-396.47,-22.8)
SiPM 6043  (-287.62,-380.92,-22.8)
SiPM 6044  (-287.62,-365.37,-22.8)
SiPM 6045  (-287.62,-349.82,-22.8)
SiPM 6046  (-287.62,-334.27,-22.8)
SiPM 6047  (-287.62,-318.72,-22.8)
SiPM 6048  (-272.07,-427.57,-22.8)
SiPM 6049  (-272.07,-412.02,-22.8)
SiPM 6050  (-272.07,-396.47,-22.8)
SiPM 6051  (-272.07,-380.92,-22.8)
SiPM 6052  (-272.07,-365.37,-22.8)
SiPM 6053  (-272.07,-349.82,-22.8)
SiPM 6054  (-272.07,-334.27,-22.8)
SiPM 6055  (-272.07,-318.72,-22.8)
SiPM 6056  (-256.52,-427.57,-22.8)
SiPM 6057  (-256.52,-412.02,-22.8)
SiPM 6058  (-256.52,-396.47,-22.8)
SiPM 6059  (-256.52,-380.92,-22.8)
SiPM 6060  (-256.52,-365.37,-22.8)
SiPM 6061  (-256.52,-349.82,-22.8)
SiPM 6062  (-256.52,-334.27,-22.8)
SiPM 6063  (-256.52,-318.72,-22.8)
SiPM 7000  (-365.37,-303.17,-22.8)
